latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.92646,-70.35197,343.7,0.53,0.42,2019-10-18,0600,N,nominal,1.0NRT,295.3,19.5,N
18.92712,-70.35711,304.5,0.53,0.42,2019-10-18,0600,N,nominal,1.0NRT,291.9,19.5,N
18.47927,-69.22849,304.9,0.46,0.39,2019-10-18,0600,N,nominal,1.0NRT,293.6,1.1,N
10.41514,-61.48043,305.6,0.47,0.48,2019-10-18,0600,N,nominal,1.0NRT,290.4,2.6,N
10.41,-61.47694,318.1,0.47,0.48,2019-10-18,0600,N,nominal,1.0NRT,290.8,2.8,N
10.3925,-61.48012,306.3,0.47,0.48,2019-10-18,0600,N,nominal,1.0NRT,290,1.3,N
11.74928,-70.171,320.5,0.44,0.38,2019-10-18,0600,N,nominal,1.0NRT,293.9,3.3,N
11.63331,-70.23652,330.2,0.44,0.38,2019-10-18,0600,N,nominal,1.0NRT,294.2,4.9,N
11.62978,-70.23706,326.3,0.44,0.38,2019-10-18,0600,N,nominal,1.0NRT,293.7,2.5,N
11.62918,-70.23302,309.3,0.44,0.38,2019-10-18,0600,N,nominal,1.0NRT,294,2.5,N
11.62036,-70.22208,330.3,0.44,0.38,2019-10-18,0600,N,nominal,1.0NRT,294.2,3.8,N
10.18261,-61.69517,307.7,0.46,0.47,2019-10-18,0600,N,nominal,1.0NRT,287.7,1.6,N
10.18186,-61.69099,315.7,0.46,0.47,2019-10-18,0600,N,nominal,1.0NRT,288.4,1.7,N
10.17828,-61.69595,304.8,0.46,0.47,2019-10-18,0600,N,nominal,1.0NRT,287.3,1.6,N
10.17753,-61.69178,313.5,0.46,0.47,2019-10-18,0600,N,nominal,1.0NRT,288.2,1.7,N
10.18084,-61.69371,315.9,0.46,0.47,2019-10-18,0600,N,nominal,1.0NRT,288.4,3.5,N
10.18012,-61.68953,304.9,0.46,0.47,2019-10-18,0600,N,nominal,1.0NRT,287.6,1.1,N
10.17579,-61.69034,304.6,0.46,0.47,2019-10-18,0600,N,nominal,1.0NRT,286.9,1.1,N
10.39871,-64.16599,310.9,0.49,0.4,2019-10-18,0600,N,nominal,1.0NRT,290.6,0.9,N
10.00575,-62.23663,312.2,0.43,0.46,2019-10-18,0600,N,nominal,1.0NRT,287.7,1.5,N
10.23392,-64.55894,304.5,0.47,0.4,2019-10-18,0600,N,nominal,1.0NRT,283.9,0.9,N
9.97694,-63.18218,324.3,0.56,0.43,2019-10-18,0600,N,nominal,1.0NRT,279.5,3.2,N
